,code,Name,State,NPS.region,Park.type,Area_km2,NetworkCode,NetworkName,IandM,Aquatic.park,Level.1.ecoregion,Level.2.ecoregion,NPVULN.ecoregional.group,Air.pollution,At.risk.sp.ter,At.risk.sp.aqu,Back.velocity,Biome.shift,Drought.sum,Early.spring,Env.Diversity,Exotic.sp,Fire.change,Fire.hazard,Forest.pest,Forward.velocity,Invasion.risk,Landscape.integrity,Moisture,PC2,Precipitation,Sea.level.change,Snow,Temp.change,Temp.exceedance,Ter.tot.vul.score,Aqu.tot.vul.score,Nliv.tot.vul.score,Ter.national.quartile,Aqu.national.quartile,Nliv.national.quartile,Ter.ecoregional.quartile,Aqu.ecoregional.quartile,Nliv.ecoregional.quartile,High.impact.current.fire,High.impact.projected.fire,High.impact.fire.combined,High.impact.summer.drought,High.impact.sea.level.or.surge,High.impact.slr,High.impact.storm.surge,High.impact.forest.pest,High.impact.at.least.one,High.impact.types,National.priority,Ecoregional.priority,Comprehensive.nrva,NRVA.any,IVA.any,CRVA.any,CCVA.types
1,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,SE,National Historical Park,1.370877086,CUPN,Cumberland Piedmont Network,1,NA,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,0.80977633,0.33467812,NA,0.224187054,0.4,0.149967975,0.793141394,0.61335294,0.143030435,0.205044802,0.198845972,0.109512777,0.281480049,1,0.437439174,0.317760881,0.284041209,0.452842517,0,0.81537696,0.749964823,0.299392221,2.25699593,NA,1.568156432,3,NA,2,3,NA,3,0,0,0_0,0,0,0,0,0,0,None,0,0,0,1,0,0,0_0_0
2,ACAD,Acadia National Park,ME,NE,National Park,156.9793851,NETN,Northeast Temperate Network,1,1,EASTERN TEMPERATE FORESTS,MIXED WOOD PLAINS,NORTHERN FORESTS AND PLAINS,0.51762798,0.126876394,0,0.263355934,0.15,0.027920116,0.842573072,0.601209109,0.386592293,0.039443711,0.152082817,0.329034466,0.101898492,0.888888889,0.366952492,0.504440272,0.106688904,0.467586261,0.034941925,0.844582112,0.687934481,0.09638615,2.084989354,1.771372345,1.369476285,2,1,1,1,1,1,0,0,0_0,0,0,0,0,1,1,Pest,0,0,0,1,1,0,0_iva_0
3,ADAM,Adams National Historical Park,MA,NE,National Historical Park,0.055184972,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS,MIXED WOOD PLAINS,NORTHERN FORESTS AND PLAINS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.639313437,NA,NA,3,NA,NA,2,0,0,0_0,0,0,0,0,0,0,None,0,0,0,0,0,0,0_0_0
4,AFBG,African Burial Ground National Monument,NY,NE,National Monument,0.001391896,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.624359799,NA,NA,3,NA,NA,3,0,0,0_0,0,0,0,0,0,0,None,0,0,0,0,0,0,0_0_0
5,AGFO,Agate Fossil Beds National Monument,NE,MW,National Monument,12.32317469,NGPN,Northern Great Plains Network,1,1,GREAT PLAINS,SOUTH CENTRAL SEMIARID PRAIRIES,GREAT PLAINS,0.563133247,0.1601118,0,0.201027724,0.6,0.350438503,0.765683135,0.635835227,0.136731964,0.360045141,0.443893078,0.18229221,0.140982941,1,0.103663787,0.658807046,0.348418423,0.903184288,0,0.763688941,0.750197357,0.071203455,2.4058271,2.407336053,1.795327844,4,4,4,4,3,3,0,0,0_0,0,0,0,0,1,1,Pest,1,0,0,0,0,0,0_0_0
6,ALKA,Ala Kahakai National Historic Trail,HI,PW,National Historic Trail,3.591609552,PACN,Pacific Islands Network,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0_0_0
7,ALAG,Alagnak Wild River,AK,AK,Wild River,125.0783117,SWAN,Southwest Alaska Network,1,1,TUNDRA,ALASKA TUNDRA,TUNDRA,NA,0.253573607,0,0.299266545,0.752941176,NA,NA,1,0.310299003,0.65092535,NA,1,0.22769501,0,0.416137037,1,0.287192093,0.452439504,0,0.688669561,0.79775273,NA,2.421495566,2.135802015,1.679749921,4,4,4,4,4,4,NA,1,NA,NA,0,NA,NA,1,1,Fire_Pest,1,1,0,0,0,0,0_0_0
8,ALFL,Alibates Flint Quarries National Monument,TX,IM,National Monument,5.547998879,SOPN,Southern Plains Network,1,1,GREAT PLAINS,SOUTH CENTRAL SEMIARID PRAIRIES,GREAT PLAINS,0.628106363,0.072250851,0.5,0.211327515,0.6,0.383696297,0.839753501,0.645685621,0.160995924,0.266610747,0.687785022,0,0.306601739,1,0.228421943,0.72172103,0.764950843,0.425725805,0,0,0.560527471,0.237525493,2.334058514,2.389002144,1.64152055,3,4,3,3,2,2,0,0,0_0,1,0,0,0,0,1,Drought,1,1,0,0,0,0,0_0_0
9,ALPO,Allegheny Portage Railroad National Historic Site,PA,NE,National Historic Site,5.304908728,ERMN,Eastern Rivers and Mountains Network,1,NA,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,INTERIOR SOUTHEAST PLAINS AND FOREST,0.778817936,0.138895924,NA,0.069181342,0.4,0.17450072,0.86271926,0.509493182,0.25775567,0.172951727,0.200803736,0.102276052,0.310866999,1,0.43656796,0.342110485,0.356977579,0.525581991,0,0.90089908,0.748045193,0.21020386,2.27934244,NA,1.62029602,3,NA,3,3,NA,3,0,1,0_1,0,0,0,0,0,0,None,0,0,0,1,0,0,0_0_0
10,AMME,American Memorial Park,MP,PW,Park,0.565914802,PACN,Pacific Islands Network,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0_0_0
11,AMIS,Amistad National Recreation Area,TX,IM,National Recreation Area,232.9590971,CHDN,Chihuahuan Desert Network,1,NA,NORTH AMERICAN DESERTS,WARM DESERTS,NORTH AMERICAN DESERTS AND SEMIARID,0.437431609,0.244284552,NA,0.061232826,0.333333333,0.244079926,0.514765261,0.627633091,0.080940351,0.717678772,0.303248086,0,0.051672705,0.666666667,0.178687414,0.397524328,0.200617621,0.296745516,0,0,0.241899195,0.451624845,1.650997249,NA,1.198949698,1,NA,1,1,NA,1,0,1,0_1,0,0,0,0,0,0,None,0,0,0,0,0,0,0_0_0
12,ANDE,Andersonville National Historic Site,GA,SE,National Historic Site,2.108598797,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.261269427,NA,NA,1,NA,NA,1,1,0,1_0,0,0,0,0,1,1,Fire_Pest,0,0,0,0,0,0,0_0_0
13,ANJO,Andrew Johnson National Historic Site,TN,SE,National Historic Site,0.066721266,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,INTERIOR SOUTHEAST PLAINS AND FOREST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2387668,NA,NA,1,NA,NA,1,0,1,0_1,0,0,0,0,0,0,None,0,0,0,0,0,0,0_0_0
14,ANIA,Aniakchak National Monument,AK,AK,National Monument,555.8350548,SWAN,Southwest Alaska Network,1,1,MARINE WEST COAST FOREST,MARINE WEST COAST FOREST,MARINE WEST COAST FOREST,NA,0.819066616,0,1,0.258823529,NA,NA,0.521613377,0.130083565,0.337413536,NA,0,0.314902814,0,0.40097572,0.648633262,0.077841788,0.321715342,0.052619994,0.960380492,1,NA,2.20364243,1.751880225,1.60288261,4,3,3,4,3,4,NA,0,NA,NA,0,NA,NA,0,0,None,1,1,0,0,1,0,0_iva_0
15,ANIA,Aniakchak National Preserve,AK,AK,National Preserve,1886.080172,SWAN,Southwest Alaska Network,1,1,MARINE WEST COAST FOREST,MARINE WEST COAST FOREST,MARINE WEST COAST FOREST,NA,0.819066616,0,1,0.258823529,NA,NA,0.521613377,0.130083565,0.337413536,NA,0,0.314902814,0,0.40097572,0.648633262,0.077841788,0.321715342,0.052619994,0.960380492,1,NA,2.20364243,1.751880225,1.60288261,4,3,3,4,3,4,NA,0,NA,NA,0,NA,NA,0,0,None,1,1,0,0,1,0,0_iva_0
16,ANTI,Antietam National Battlefield,MD,NC,National Battlefield,13.1659596,NCRN,National Capital Region Network,1,NA,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,INTERIOR SOUTHEAST PLAINS AND FOREST,1,0.389298632,NA,0.416168171,0.4,0.206321442,0.859358614,0.567584148,0.295672515,0.09050027,0.211513642,0.131863548,0.054711785,1,0.568902983,0.409306889,0.307128414,0.531288803,0,0.956101933,0.744232731,0.204292164,2.475121365,NA,1.751235292,4,NA,4,4,NA,4,0,0,0_0,0,0,0,0,0,0,None,1,1,0,1,0,0,0_0_0
17,APIS,Apostle Islands National Lakeshore,WI,MW,National Lakeshore,294.5182517,GLKN,Great Lakes Network,1,1,WATER,WATER,NORTHERN FORESTS AND PLAINS,0.80977633,0.140169688,0,0.277210213,0.2,0.158329796,0.818321411,0.649028303,0.199965087,0.145886229,0.070576962,0.135987015,0.172799518,0.666666667,0.257762846,0.342994076,0.156340973,0.660125733,0,0.665395581,0.847770849,0.041983423,2.06754871,1.926007765,1.500519909,2,2,2,1,1,1,0,0,0_0,0,0,0,0,0,0,None,0,0,1,1,0,0,nrva_0_0
18,APPA,Appalachian National Scenic Trail,ME,NE,National Scenic Trail,948.6229571,NETN,Northeast Temperate Network,1,NA,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,INTERIOR SOUTHEAST PLAINS AND FOREST,0,0.452454555,NA,0.196217242,0.533333333,0.11520407,0.841709033,0.459319847,0.113603681,0.166829605,0.287472709,0.212660928,0.145224604,0.986928105,0.368588388,0.32535661,0.331053893,0.467586261,0,0.810710142,0.683173563,0.198274284,2.087424164,NA,1.317302778,2,NA,1,1,NA,1,0,1,0_1,0,0,0,0,1,1,Pest,0,0,0,1,0,0,0_0_0
19,APCO,Appomattox Court House National Historical Park,VA,NE,National Historical Park,7.198044948,MIDN,Mid-Atlantic Network,1,1,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,0.80977633,0.243177989,0,0.133051235,0.4,0.10439249,0.775918333,0.620878057,0.263993317,0.094122132,0.37909095,0.13190953,0.055210108,1,0.371249095,0.280115019,0.25037412,0.419661533,0,0,0.67730495,0.259817335,2.028561687,1.910181273,1.259397527,1,2,1,1,1,1,0,0,0_0,0,0,0,0,0,0,None,0,0,0,1,0,0,0_0_0
